"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"1","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Winter",8,2021,2487,6,414.5
"2","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",9,2021,1688,5.8,291
"3","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",10,2021,2703,5.9,458.1
"4","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",11,2021,2595,6.2,418.5
"5","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Summer",12,2021,1506,5.9,255.3
"6","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Summer",1,2022,1382,5.7,242.5
"7","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Summer",2,2022,2164,5.9,366.8
"8","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Autumn",3,2022,2331,5.9,395.1
"9","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Autumn",4,2022,1503,5.7,263.7
"10","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Autumn",5,2022,2138,5.9,362.4
"11","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Winter",6,2022,2000,5.7,350.9
"12","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Winter",7,2022,1945,5.5,353.6
"13","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Winter",8,2022,2513,6,418.8
"14","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",9,2022,2319,5.6,414.1
"15","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",10,2022,1934,5.7,339.3
"16","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Spring",11,2022,2380,5.9,403.4
"17","10bc0a12","Nissan Leaf (30 kWh)","Coastal Otago","Summer",12,2022,1282,5.9,217.3
"18","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",8,2018,880,7.9,111.4
"19","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",9,2018,1352,8,169
"20","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",10,2018,1869,7.7,242.7
"21","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",11,2018,1286,7.9,162.8
"22","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",12,2018,2488,8,311
"23","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",1,2019,1206,8.26,146
"24","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",2,2019,1411,8.33,169.4
"25","060ffa8d","Hyundai Ioniq (EV)","Waikato","Autumn",3,2019,1892,8.3,228
"26","060ffa8d","Hyundai Ioniq (EV)","Waikato","Autumn",4,2019,1699,7.9,215.1
"27","060ffa8d","Hyundai Ioniq (EV)","Waikato","Autumn",5,2019,2280,7.4,308.1
"28","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",6,2019,1436,7,205.1
"29","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",7,2019,1415,7,202.1
"30","060ffa8d","Hyundai Ioniq (EV)","Waikato","Winter",8,2019,1683,7.3,230.5
"31","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",9,2019,723,7.9,91.5
"32","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",10,2019,4991,7.8,639.9
"33","060ffa8d","Hyundai Ioniq (EV)","Waikato","Spring",11,2019,764,8.4,91
"34","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",12,2019,1492,9,165.8
"35","060ffa8d","Hyundai Ioniq (EV)","Waikato","Summer",1,2020,2735,8.3,329.5
"36","4f13ed42","Nissan Leaf (24 kWh) 2011-2012","Bay of Plenty","Winter",8,2017,362,6.44,56.2
"37","4f13ed42","Nissan Leaf (24 kWh) 2011-2012","Bay of Plenty","Spring",9,2017,488,6.6,73.9
"38","4f13ed42","Nissan Leaf (24 kWh) 2011-2012","Bay of Plenty","Spring",10,2017,543,8.85,61.4
"39","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",9,2019,1618,7.3,221.6
"40","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",10,2019,1140,7.3,156.2
"41","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",11,2019,1568,7.6,206.3
"42","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",12,2019,1739,7.3,238.2
"43","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",1,2020,2361,6.9,342.2
"44","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",2,2020,1697,7.7,220.4
"45","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",3,2020,1299,7.7,168.7
"46","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",4,2020,396,7.1,55.8
"47","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",5,2020,1256,7.4,169.7
"48","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",6,2020,1952,7,278.9
"49","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",7,2020,1681,7.2,233.5
"50","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",9,2020,1599,7.4,216.1
"51","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",10,2020,1488,7.5,198.4
"52","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",11,2020,1858,7.7,241.3
"53","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",12,2020,1440,7.5,192
"54","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",1,2021,1475,7.6,194.1
"55","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",2,2021,1409,7.9,178.4
"56","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",3,2021,1892,8,236.5
"57","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",4,2021,1625,7.8,208.3
"58","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",5,2021,905,7.9,114.6
"59","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",6,2021,636,7.4,85.9
"60","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",7,2021,412,7.2,57.2
"61","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Winter",8,2021,25,7.2,3.5
"62","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",9,2021,633,7.7,82.2
"63","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",10,2021,794,7.7,103.1
"64","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Spring",11,2021,748,8,93.5
"65","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",12,2021,627,7.7,81.4
"66","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",1,2022,1277,7.5,170.3
"67","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Summer",2,2022,812,7.4,109.7
"68","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",3,2022,600,7.5,80
"69","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",4,2022,248,7.2,34.4
"70","7115f1ca","Nissan Leaf (24 kWh) 2013-2016","Wellington","Autumn",5,2022,485,6.9,70.3
